ID,NAME,LAT,LONG
209.000000,CHUQUIAGUILLO,-16.450000,-68.100000
210.000000,FLORIDA,-18.566667,-63.383333
211.000000,GUTIERREZ,-19.416667,-63.533333
212.000000,INQUISIVI,-16.983333,-67.166667
213.000000,ITALAQUE,-15.483333,-69.033333
214.000000,LAMBATE,-16.600000,-67.700000
215.000000,MATARAL,-18.116667,-64.216667
216.000000,OVEJUYO,-16.533333,-68.050000
217.000000,PE?AS,-16.283333,-68.633333
218.000000,POTOLO,-19.019722,-65.530556
219.000000,PUNILLA,-18.983333,-65.300000
220.000000,PUTUCUNI,-17.333333,-65.816667
221.000000,ROSARIO_DEL_INGRE,-20.533333,-63.893611
222.000000,SALLA,-17.183333,-67.616667
223.000000,SAN_JOSE_ALTO,-17.716667,-65.750000
224.000000,TAMBILLO,-16.566667,-68.500000
225.000000,TRES_CRUSES,-17.633333,-62.233333
226.000000,VILLA_COPACABANA,-16.483333,-67.116667
227.000000,VILLA_SERRANO,-19.116667,-64.316667
228.000000,NASA_1,-18.454000,-68.007000
229.000000,NASA_2,-20.237000,-68.231000
230.000000,NASA_3,-20.594000,-66.797000
231.000000,NASA_4,-21.594000,-67.442000
232.000000,NASA_5,-21.970000,-66.717000
233.000000,NASA_6,-18.913000,-68.540000
234.000000,NASA_7,-12.605000,-66.941000
235.000000,NASA_8,-11.753000,-68.217000
236.000000,NASA_9,-14.524000,-62.720000
237.000000,NASA_10,-14.324000,-60.647000
238.000000,NASA_11,-19.629000,-62.088000
239.000000,NASA_12,-19.416000,-66.667000
